person_id,master_metadata_track_name,master_metadata_album_artist_name,total_minutes,repeat_count,days_listened,playlist_share,first_listened,last_listened,peak_month
p1,Scenes from an Italian Restaurant,Billy Joel,15.330416666666666,4,4,0.0,2022-12-22 11:58:36+00:00,2023-02-22 05:40:07+00:00,2023-01
p1,Virtual Insanity - Remastered 2006,Jamiroquai,15.290666666666667,4,4,1.0,2025-01-11 22:05:58+00:00,2025-01-26 06:39:26+00:00,2025-01
p2,Bags,Clairo,1047.0730666666664,297,86,0.0,2022-08-01 06:55:05+00:00,2025-11-28 15:46:18+00:00,2022-08
p2,Moon Song,Phoebe Bridgers,570.8780499999998,172,123,0.0,2022-03-03 06:15:36+00:00,2025-12-31 11:18:20+00:00,2023-01
p2,Waiting Room,Phoebe Bridgers,469.88730000000004,99,79,0.0,2022-03-31 04:56:44+00:00,2026-01-27 19:46:57+00:00,2022-05
p2,Tummy Hurts (feat. Coco Jones) - Remix,Reneé Rapp,427.62953333333337,168,20,0.0,2024-01-06 06:28:33+00:00,2025-12-14 12:56:46+00:00,2024-01
p2,ceilings,Lizzy McAlpine,381.98749999999995,171,125,0.0,2022-04-27 04:04:24+00:00,2026-01-15 10:49:48+00:00,2022-09
p2,Weightless,Marconi Union,375.83621666666664,50,10,0.0,2024-02-26 06:06:16+00:00,2024-08-30 06:37:07+00:00,2024-03
p2,Sun Bleached Flies,Ethel Cain,368.9698000000001,66,43,0.0,2024-07-15 07:46:21+00:00,2026-01-15 10:09:23+00:00,2024-08
p2,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,345.94876666666676,46,42,0.0,2022-04-30 09:39:29+00:00,2025-05-31 02:40:53+00:00,2023-06
p2,Spring Into Summer,Lizzy McAlpine,329.39585,105,69,0.0,2025-01-24 23:22:24+00:00,2026-01-27 19:55:16+00:00,2025-01
p2,Broken Clocks,SZA,326.3294333333333,115,84,0.0,2022-08-06 03:42:54+00:00,2026-02-05 18:54:33+00:00,2024-11
p2,Good Days,SZA,319.3193833333333,98,80,0.0,2022-02-10 03:36:16+00:00,2026-02-03 21:02:26+00:00,2024-11
p2,I Know The End,Phoebe Bridgers,319.15926666666667,105,80,0.0,2022-03-31 05:05:52+00:00,2025-12-31 11:29:01+00:00,2023-02
p2,American Teenager,Ethel Cain,318.36558333333335,97,57,0.0,2024-07-15 07:36:33+00:00,2026-01-15 10:09:22+00:00,2024-08
p2,Funeral,Phoebe Bridgers,314.0450166666667,128,90,0.0,2022-03-26 04:38:26+00:00,2025-12-31 11:09:29+00:00,2022-04
p2,Amoeba,Clairo,311.1735,107,90,0.0,2022-08-01 08:50:32+00:00,2026-01-26 14:02:19+00:00,2024-11
p2,21,Gracie Abrams,299.7688166666666,120,67,0.0,2022-05-12 04:07:51+00:00,2025-05-15 10:21:52+00:00,2024-08
p2,Scott Street,Phoebe Bridgers,297.01393333333334,106,71,0.0,2023-01-12 10:27:42+00:00,2025-12-31 12:01:10+00:00,2023-02
p2,august,Taylor Swift,289.59684999999996,89,68,0.0,2022-03-27 01:43:29+00:00,2026-01-15 10:49:49+00:00,2023-03
p2,Where do we go now?,Gracie Abrams,285.13856666666663,93,68,0.0,2023-01-27 10:50:40+00:00,2025-06-29 04:11:46+00:00,2023-02
p2,Graceland Too,Phoebe Bridgers,280.6584666666666,95,73,0.0,2022-04-03 03:37:52+00:00,2026-01-27 20:04:22+00:00,2023-02
